date,category,chat_topic,count
1/26/2016,email,"Billing, signup and payments",444
1/26/2016,email,"Commerce, and managing your store",82
1/26/2016,email,Designing your site and managing your template,239
1/26/2016,email,Domains and email services,232
1/26/2016,email,"Galleries, images, and videos",96
1/26/2016,email,Getting Started with Squarespace,121
1/26/2016,email,Logging in and managing your account,111
1/26/2016,email,SEO and metrics,71
1/26/2016,emails&chats,All Topics,3963
1/27/2016,chat,Adding and editing pages and blocks,508
1/27/2016,chat,All Topics,2263
1/27/2016,chat,"Billing, signup and payments",304
1/27/2016,chat,"Commerce, and managing your store",122
1/27/2016,chat,Designing your site and managing your template,385
1/27/2016,chat,Domains and email services,336
1/27/2016,chat,"Galleries, images, and videos",202
1/27/2016,chat,Getting Started with Squarespace,193
1/27/2016,chat,Logging in and managing your account,159
1/27/2016,chat,SEO and metrics,54
1/27/2016,email,Adding and editing pages and blocks,253
1/27/2016,email,All Topics,1612
1/27/2016,email,"Billing, signup and payments",485
1/27/2016,email,"Commerce, and managing your store",74
1/27/2016,email,Designing your site and managing your template,204
1/27/2016,email,Domains and email services,175
1/27/2016,email,"Galleries, images, and videos",89
1/27/2016,email,Getting Started with Squarespace,109
1/27/2016,email,Logging in and managing your account,151
1/27/2016,email,SEO and metrics,72
1/27/2016,emails&chats,All Topics,3875
1/28/2016,chat,Adding and editing pages and blocks,469
1/28/2016,chat,All Topics,1977
1/28/2016,chat,"Billing, signup and payments",254
1/28/2016,chat,"Commerce, and managing your store",117
1/28/2016,chat,Designing your site and managing your template,356
1/28/2016,chat,Domains and email services,322
1/28/2016,chat,"Galleries, images, and videos",140
1/28/2016,chat,Getting Started with Squarespace,181
1/28/2016,chat,Logging in and managing your account,101
1/28/2016,chat,SEO and metrics,37
1/28/2016,email,Adding and editing pages and blocks,242
1/28/2016,email,All Topics,1445
1/28/2016,email,"Billing, signup and payments",375
1/28/2016,email,"Commerce, and managing your store",97
1/28/2016,email,Designing your site and managing your template,198
1/28/2016,email,Domains and email services,155
1/28/2016,email,"Galleries, images, and videos",113
1/28/2016,email,Getting Started with Squarespace,92
1/28/2016,email,Logging in and managing your account,115
1/28/2016,email,SEO and metrics,58
1/28/2016,emails&chats,All Topics,3422
1/29/2016,chat,Adding and editing pages and blocks,440
1/29/2016,chat,All Topics,1997
1/29/2016,chat,"Billing, signup and payments",297
1/29/2016,chat,"Commerce, and managing your store",101
1/29/2016,chat,Designing your site and managing your template,336
1/29/2016,chat,Domains and email services,320
1/29/2016,chat,"Galleries, images, and videos",152
1/29/2016,chat,Getting Started with Squarespace,206
1/29/2016,chat,Logging in and managing your account,108
1/29/2016,chat,SEO and metrics,37
1/29/2016,email,Adding and editing pages and blocks,224
1/29/2016,email,All Topics,1293
1/29/2016,email,"Billing, signup and payments",356
1/29/2016,email,"Commerce, and managing your store",74
1/29/2016,email,Designing your site and managing your template,170
1/29/2016,email,Domains and email services,139
1/29/2016,email,"Galleries, images, and videos",81
1/29/2016,email,Getting Started with Squarespace,92
